College,Branch,Category,Rank 2024,Percentile 2024,Rank 2025,Percentile 2025,Rank Change,Percentile Change
"01002 - Government College of Engineering, Amravati",Civil Engineering,GOPENS,34240.0,88.5014,37591.0,88.9551,+3351 ↑,+0.4537 ↑
"01002 - Government College of Engineering, Amravati",Civil Engineering,LOPENS,35071.0,88.1228,30071.0,91.146,-5000 ↓,+3.0232 ↑
"01002 - Government College of Engineering, Amravati",Civil Engineering,SC/ST,62739.0,77.8445,58518.0,82.3322,-4221 ↓,+4.4877 ↑
"01002 - Government College of Engineering, Amravati",Civil Engineering,OBC/SEBC,42649.0,85.3822,44130.0,86.9194,+1481 ↑,+1.5372 ↑
"01002 - Government College of Engineering, Amravati",Civil Engineering,GNT,34281.0,88.4426,41549.0,87.6872,+7268 ↑,-0.7554 ↓
"01002 - Government College of Engineering, Amravati",Civil Engineering,EWS,90204.0,66.1855,90389.0,71.4755,+185 ↑,+5.29 ↑
"01002 - Government College of Engineering, Amravati",Civil Engineering,TFWS,41891.0,85.5352,37350.0,88.9774,-4541 ↓,+3.4422 ↑
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,7872.0,97.3912,9196.0,97.3737,+1324 ↑,-0.0175 ↓
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,LOPENS,9308.0,96.9067,8473.0,97.5648,-835 ↓,+0.6581 ↑
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,SC/ST,17571.0,94.1713,18016.0,94.7838,+445 ↑,+0.6125 ↑
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,OBC/SEBC,8931.0,97.0436,10583.0,96.966,+1652 ↑,-0.0776 ↓
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,GNT,16443.0,94.5541,15590.0,95.5373,-853 ↓,+0.9832 ↑
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,EWS,13851.0,95.3932,13724.0,96.0639,-127 ↓,+0.6707 ↑
"01002 - Government College of Engineering, Amravati",Computer Science and Engineering,TFWS,5518.0,98.1178,7401.0,97.8665,+1883 ↑,-0.2513 ↓
"01002 - Government College of Engineering, Amravati",Electrical Engineering,GOPENS,28736.0,90.3848,28037.0,91.7521,-699 ↓,+1.3673 ↑
"01002 - Government College of Engineering, Amravati",Electrical Engineering,LOPENS,25978.0,91.2955,26875.0,92.1231,+897 ↑,+0.8276 ↑
"01002 - Government College of Engineering, Amravati",Electrical Engineering,SC/ST,42636.0,85.3822,45807.0,86.387,+3171 ↑,+1.0048 ↑
"01002 - Government College of Engineering, Amravati",Electrical Engineering,OBC/SEBC,30164.0,89.8748,29365.0,91.3594,-799 ↓,+1.4846 ↑
"01002 - Government College of Engineering, Amravati",Electrical Engineering,GNT,43440.0,85.1704,33361.0,90.161,-10079 ↓,+4.9906 ↑
"01002 - Government College of Engineering, Amravati",Electrical Engineering,EWS,49718.0,82.782,58738.0,82.2163,+9020 ↑,-0.5657 ↓
"01002 - Government College of Engineering, Amravati",Electrical Engineering,TFWS,27443.0,90.8059,31810.0,90.6537,+4367 ↑,-0.1522 ↓
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOPENS,17552.0,94.1713,17151.0,95.0636,-401 ↓,+0.8923 ↑
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOPENS,15100.0,95.0168,18397.0,94.7159,+3297 ↑,-0.3009 ↓
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,SC/ST,32759.0,88.9034,36725.0,89.1962,+3966 ↑,+0.2928 ↑
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,OBC/SEBC,18536.0,93.8694,18719.0,94.5863,+183 ↑,+0.7169 ↑
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GNT,22199.0,92.6336,17913.0,94.8203,-4286 ↓,+2.1867 ↑
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,23715.0,92.1089,35492.0,89.5355,+11777 ↑,-2.5734 ↓
"01002 - Government College of Engineering, Amravati",Electronics and Telecommunication Engg,TFWS,14636.0,95.1705,18894.0,94.5373,+4258 ↑,-0.6332 ↓
"01002 - Government College of Engineering, Amravati",Information Technology,GOPENS,12001.0,96.0264,12891.0,96.3316,+890 ↑,+0.3052 ↑
"01002 - Government College of Engineering, Amravati",Information Technology,LOPENS,11632.0,96.1688,12183.0,96.5201,+551 ↑,+0.3513 ↑
"01002 - Government College of Engineering, Amravati",Information Technology,SC/ST,22810.0,92.4262,22881.0,93.3597,+71 ↑,+0.9335 ↑
"01002 - Government College of Engineering, Amravati",Information Technology,OBC/SEBC,12727.0,95.8067,14193.0,95.9539,+1466 ↑,+0.1472 ↑
"01002 - Government College of Engineering, Amravati",Information Technology,GNT,17692.0,94.1152,16590.0,95.2407,-1102 ↓,+1.1255 ↑
"01002 - Government College of Engineering, Amravati",Information Technology,EWS,18299.0,93.9033,22723.0,93.4193,+4424 ↑,-0.484 ↓
"01002 - Government College of Engineering, Amravati",Information Technology,TFWS,9964.0,96.723,12026.0,96.5455,+2062 ↑,-0.1775 ↓
"01002 - Government College of Engineering, Amravati",Instrumentation Engineering,GOPENS,40780.0,86.1227,45626.0,86.412,+4846 ↑,+0.2893 ↑
"01002 - Government College of Engineering, Amravati",Instrumentation Engineering,LOPENS,47564.0,83.6394,40999.0,87.9235,-6565 ↓,+4.2841 ↑
"01002 - Government College of Engineering, Amravati",Instrumentation Engineering,SC/ST,76436.0,72.5042,64794.0,80.3531,-11642 ↓,+7.8489 ↑
"01002 - Government College of Engineering, Amravati",Instrumentation Engineering,OBC/SEBC,49279.0,82.8861,50313.0,84.9729,+1034 ↑,+2.0868 ↑
"01002 - Government College of Engineering, Amravati",Instrumentation Engineering,GNT,48697.0,83.1984,51152.0,84.643,+2455 ↑,+1.4446 ↑
"01002 - Government College of Engineering, Amravati",Instrumentation Engineering,TFWS,55129.0,80.7859,105120.0,65.5191,+49991 ↑,-15.2668 ↓
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,GOPENS,37888.0,87.0845,34406.0,89.8618,-3482 ↓,+2.7773 ↑
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,LOPENS,41682.0,85.7455,43339.0,87.1376,+1657 ↑,+1.3921 ↑
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,SC/ST,60509.0,78.9561,53314.0,84.036,-7195 ↓,+5.0799 ↑
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,OBC/SEBC,40001.0,86.2308,38117.0,88.7616,-1884 ↓,+2.5308 ↑
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,GNT,47170.0,83.7441,35304.0,89.6392,-11866 ↓,+5.8951 ↑
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,EWS,75778.0,72.8176,75700.0,76.7695,-78 ↓,+3.9519 ↑
"01002 - Government College of Engineering, Amravati",Mechanical Engineering,TFWS,39326.0,86.5744,36139.0,89.2945,-3187 ↓,+2.7201 ↑
"01005 - Sant Gadge Baba Amravati University,Amravati",Food Technology,GOPENS,29972.0,90.6223,4917.0,98.6379,-25055 ↓,+8.0156 ↑
"01005 - Sant Gadge Baba Amravati University,Amravati",Food Technology,SC/ST,10194.0,96.8761,37414.0,89.7378,+27220 ↑,-7.1383 ↓
"01005 - Sant Gadge Baba Amravati University,Amravati",Food Technology,GNT,22742.0,92.9309,8634.0,97.6779,-14108 ↓,+4.747 ↑
"01005 - Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOPENS,68353.0,75.736,110594.0,63.2001,+42241 ↑,-12.5359 ↓
"01005 - Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,SC/ST,99521.0,62.2535,120840.0,58.4402,+21319 ↑,-3.8133 ↓
"01005 - Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,GOPENS,95351.0,63.537,98098.0,68.3753,+2747 ↑,+4.8383 ↑
"01005 - Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,SC/ST,136570.0,40.2848,169379.0,31.9226,+32809 ↑,-8.3622 ↓
"01005 - Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,GOPENS,34286.0,88.4426,66017.0,79.8919,+31731 ↑,-8.5507 ↓
"01005 - Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,SC/ST,55275.0,80.7841,67494.0,79.6034,+12219 ↑,-1.1807 ↓
"01005 - Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,GNT,161824.0,20.9331,112652.0,62.0615,-49172 ↓,+41.1284 ↑
"01012 - Government College of Engineering,Yavatmal",Civil Engineering,GOPENS,67451.0,76.1359,59346.0,82.1124,-8105 ↓,+5.9765 ↑
"01012 - Government College of Engineering,Yavatmal",Civil Engineering,LOPENS,85105.0,68.7156,100020.0,67.821,+14915 ↑,-0.8946 ↓
"01012 - Government College of Engineering,Yavatmal",Civil Engineering,SC/ST,73509.0,73.7743,61413.0,81.3271,-12096 ↓,+7.5528 ↑
"01012 - Government College of Engineering,Yavatmal",Civil Engineering,OBC/SEBC,60776.0,78.912,90454.0,71.4755,+29678 ↑,-7.4365 ↓
"01012 - Government College of Engineering,Yavatmal",Civil Engineering,GNT,74345.0,73.425,74967.0,76.8973,+622 ↑,+3.4723 ↑
"01012 - Government College of Engineering,Yavatmal",Computer Engineering,GOPENS,24944.0,91.6558,26074.0,92.3827,+1130 ↑,+0.7269 ↑
"01012 - Government College of Engineering,Yavatmal",Computer Engineering,LOPENS,33930.0,88.5539,28406.0,91.7067,-5524 ↓,+3.1528 ↑
"01012 - Government College of Engineering,Yavatmal",Computer Engineering,SC/ST,24126.0,91.9393,27585.0,91.9353,+3459 ↑,-0.004 ↓
"01012 - Government College of Engineering,Yavatmal",Computer Engineering,OBC/SEBC,33797.0,88.568,33336.0,90.161,-461 ↓,+1.593 ↑
"01012 - Government College of Engineering,Yavatmal",Computer Engineering,GNT,32683.0,88.9267,28324.0,91.7147,-4359 ↓,+2.788 ↑
"01012 - Government College of Engineering,Yavatmal",Electrical Engineering,GOPENS,59912.0,79.1319,57633.0,82.5532,-2279 ↓,+3.4213 ↑
"01012 - Government College of Engineering,Yavatmal",Electrical Engineering,LOPENS,88793.0,67.2945,117466.0,60.2517,+28673 ↑,-7.0428 ↓
"01012 - Government College of Engineering,Yavatmal",Electrical Engineering,SC/ST,56718.0,80.2744,61363.0,81.3271,+4645 ↑,+1.0527 ↑
"01012 - Government College of Engineering,Yavatmal",Electrical Engineering,OBC/SEBC,73003.0,73.8487,59472.0,82.1124,-13531 ↓,+8.2637 ↑
"01012 - Government College of Engineering,Yavatmal",Electrical Engineering,GNT,65467.0,76.7776,59437.0,82.1124,-6030 ↓,+5.3348 ↑
"01012 - Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GOPENS,33695.0,88.6037,44759.0,86.676,+11064 ↑,-1.9277 ↓
"01012 - Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,LOPENS,44601.0,84.6087,169429.0,31.9226,+124828 ↑,-52.6861 ↓
"01012 - Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,SC/ST,50727.0,82.554,49118.0,85.2216,-1609 ↓,+2.6676 ↑
"01012 - Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,OBC/SEBC,57376.0,80.0615,60514.0,81.6453,+3138 ↑,+1.5838 ↑
"01012 - Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,GNT,40106.0,86.2191,64403.0,80.3576,+24297 ↑,-5.8615 ↓
"01012 - Government College of Engineering,Yavatmal",Mechanical Engineering,GOPENS,66337.0,76.5405,59423.0,82.1124,-6914 ↓,+5.5719 ↑
